round,frame_id,object,action,rule_or_reason
1,frame_0000.jpg,xe tối gần mép trái,added,Thấy thân xe và đủ ranh giới theo GUIDELINE_LABEL.md
1,frame_0099.jpg,xe đã có prelabel,edited,Đối chiếu ảnh và kéo lại hộp bao sát thân xe; IoU với prelabel thuộc nhóm edited (0.50-0.85)
1,frame_0099.jpg,xe do model dự đoán,deleted,Xóa box vì không thấy đủ thân xe/ranh giới xác định trong ảnh; phân loại deleted (false positive)
1,frame_0099.jpg,xe bị model bỏ sót,added,Thêm box sau khi kiểm tra ảnh thấy xe có thân và ranh giới đủ rõ; phân loại added (false negative)
